ID,Component
1-PALMITOYLGLYCEROL-3-PHOSPHATE[c],0
an-oxidized-NrfB-protein[p],0
PRO[c],0
3.4.17.8-RXN,0
2-OCTAPRENYL-METHOXY-BENZOQ-METH-RXN,0
CPD-19488[c],0
LIPID-RXN,0
CPD-444[c],0
ACRYLATE[c],0
RXN-22247,0
DATP[c],0
R-3-hydroxy-cis-vaccenoyl-ACPs[c],0
DCTP[c],0
LACTALD[c],0
PHENYLETHYLAMINE[c],0
2-AMINO-3-3-OXOPROP-2-ENYL-BUT-2-ENEDI[c],0
GLYRIBONUCSYN-RXN,0
CPD-20848[c],0
CPD-11523[c],0
HOMO-CYS[c],0
DIHYDROXYISOVALDEHYDRAT-RXN,0
RXN-18899,0
CPD-19159[c],0
IMIDPHOSDEHYD-RXN,0
DEOXYINOSINE[c],0
5-10-METHENYL-THF-GLU-N[c],0
RXN-9663,0
PHENYLPYRUVATE-DECARBOXYLASE-RXN,0
2-DEOXYRIBOSE[c],0
ACRYLYL-COA[c],0
RXN-19253,0
BISOHMYR-GLC[c],0
CDPDIGLYSYN-RXN,0
RXN-8767,0
ENOYL-COA-DELTA-ISOM-RXN-POLYMER-INST-CIS-DELTA3-ENOYL-COA-C4-H8//CPD0-2108.51.,0
CO3[c],0
Hpr-pi-phospho-L-histidines[c],0
CPD-3745[e],0
CPD-15657[c],0
Charged-GLT-tRNAs[c],0
CPD-12231[c],0
BENZOATE--COA-LIGASE-RXN,0
RXN-16457,0
RXN-16765,0
RXN-7908,0
MEVALONATE[c],0
RXN-9523,0
RXN-11211,0
RXN-19307,0
RXN0-5258-Yeast,0
CPD-11997[c],0
MYRISTOYLACYLTRAN-RXN,0
RXN-10697,0
GLYCOLATEDEHYDRO-RXN,0
RXN-11245,0
L-ARGININO-SUCCINATE[c],0
CPD-12693[c],0
CPD0-1265tpp,0
RXN-22711,0
CPD-21340[c],0
POLYMER-INST-CIS-DELTA3-ENOYL-COA-C10-H20[c],0
ECTOINE[e],0
RXN-16136,0
RXN-10025,0
RXN-14291,0
PHB-DEGRADATION,0
CPD-20757[c],0
CPD-20261[c],0
CPD-19167[c],0
4-COUMARATE--COA-LIGASE-RXN,0
HYDROGEN-PEROXIDE[c],0
POLYMER-INST-Saturated-Fatty-Acyl-CoA-C0-H0[c],0
GLUTAMATE-N-ACETYLTRANSFERASE-RXN,0
CPD-21527[c],0
RXN-16013,0
NAD-SYNTH-NH3-RXN,0
THIAMINE[c],0
CPD-7222[c],0
GLYCYLGLYCINE[c],0
GLUTAMATE-1-SEMIALDEHYDE[c],0
CPD-21412[c],0
RXN-7913,0
PHENYLPYRUVATE-TAUTOMERASE-RXN,0
CPD-13908[c],0
RXN-20718,0
EX_CH4S,0
ACYLCOASYN-RXN-POLYMER-INST-CPD66-39-C2-H4/CO-A/ATP//HEXANOYL-COA/PPI/AMP.59.,0
GAMMA-BUTYROBETAINYL-COA[c],0
