source	ec_number	kcat_value	kcat_value_end	kcat_unit	substrate	organism	uniprot_id	bigg_reaction_ids	bigg_match_basis	substrate_mnx	product_mnx	pH	temperature_C	buffer	cellular_location	sabiork_entry_id	sabiork_reaction_id	kegg_reaction_id	reactome_reaction_id	pubmed_id	parameter.name	param_type	substrate_from_param	parameter.standardDeviation	Product
SABIO-RK	4.1.2.40	0.015		1/s	D-Tagatose 1,6-bisphosphate	Escherichia coli	P0AB71	FBA3	ec:1.00+uniprot:1.00+metabolites:0.17=2.17	MNXM1103932	MNXM1372045;MNXM77	8.0	30.0	[ 50 mM Tris-HCl, 20 mM NADH, Glycerol phosphate dehydrogenase, Triosephosphate isomerase,  50 mM Tris-HCl, 20 mM NADH, Glycerol phosphate dehydrogenase, Triosephosphate isomerase]	[unknown, unknown, unknown, unknown]	30045	1339	R01069		10712619.0	kcat	kcat		1.333333E-3	D-Glyceraldehyde 3-phosphate;Glycerone phosphate
SABIO-RK	4.1.2.13	0.06833333		1/s	D-Fructose 1,6-bisphosphate	Escherichia coli	P0AB74	FBA;FBA3	ec:1.00+metabolites:0.17=1.17		MNXM1372045;MNXM77	8.0	30.0	[ 50 mM Tris-HCl, 20 mM NADH, Glycerol phosphate dehydrogenase, Triosephosphate isomerase,  50 mM Tris-HCl, 20 mM NADH, Glycerol phosphate dehydrogenase, Triosephosphate isomerase]	[unknown, unknown, unknown, unknown]	30055	1338	R01070		10712619.0	kcat	kcat		6.666667E-3	Glycerone phosphate;D-Glyceraldehyde 3-phosphate
SABIO-RK	4.1.2.40	4.666667		1/s	D-Tagatose 1,6-bisphosphate	Escherichia coli	P0AB74	TGBPA	ec:1.00+uniprot:0.25+metabolites:0.17=1.42	MNXM1103932	MNXM1372045;MNXM77	8.0	30.0	[ 50 mM Tris-HCl, 20 mM NADH, Glycerol phosphate dehydrogenase, Triosephosphate isomerase,  50 mM Tris-HCl, 20 mM NADH, Glycerol phosphate dehydrogenase, Triosephosphate isomerase]	[unknown, unknown, unknown, unknown]	30056	1339	R01069		10712619.0	kcat	kcat		1.666667E-1	Glycerone phosphate;D-Glyceraldehyde 3-phosphate
SABIO-RK	4.1.2.13	2.766667		1/s	Glycerone phosphate;Hexacyanoferrate(III)	Escherichia coli	P0AB71	FBA3	ec:1.00+uniprot:1.00+metabolites:0.17=2.17	MNXM729731;MNXM77	MNXM5788;MNXM729733	8.0	30.0	[ 50 mM Tris-HCl, 0.1 M Potassium acetate,  50 mM Tris-HCl, 0.1 M Potassium acetate]	[unknown, unknown, unknown, unknown, unknown]	30057	11290			10712619.0	kcat	kcat		5E-2	Hydroxypyruvaldehyde phosphate;Hexacyanoferrate(II)
SABIO-RK	4.1.2.13	1.8		1/s	Hexacyanoferrate(III);D-Fructose 1,6-bisphosphate	Escherichia coli	P0AB71	FBA3	ec:1.00+uniprot:1.00=2.00	MNXM729731	MNXM1372045;MNXM5788;MNXM729733	8.0	30.0	[ 50 mM Tris-HCl, 0.1 M Potassium acetate,  50 mM Tris-HCl, 0.1 M Potassium acetate]	[unknown, unknown, unknown, unknown, unknown, unknown]	30063	11291			10712619.0	kcat	kcat		1.333333E-1	Hydroxypyruvaldehyde phosphate;Hexacyanoferrate(II);D-Glyceraldehyde 3-phosphate
SABIO-RK	3.2.1.23	5.2		1/s	H2O;3-Chloropyridyl-beta-D-galactopyranoside	Escherichia coli		LACZ;LACZpp	ec:1.00=1.00		MNXM112	7.5	25.0	[ 0.125 M potassium phosphate, 5 mM MgCl2, 25 ÂµM 2,2'-bipyridyl,  0.125 M potassium phosphate, 5 mM MgCl2, 25 ÂµM 2,2'-bipyridyl]	[unknown, unknown, unknown, unknown, unknown]	30163	10435				kcat	kcat		-	3-Chloropyridine;beta-D-Galactose
SABIO-RK	3.2.1.23	5.5		1/s	H2O;3-Bromopyridyl-beta-D-galactopyranoside	Escherichia coli		LACZ;LACZpp	ec:1.00=1.00		MNXM112;MNXM36351	7.5	25.0	[ 0.125 M potassium phosphate, 5 mM MgCl2, 25 ÂµM 2,2'-bipyridyl,  0.125 M potassium phosphate, 5 mM MgCl2, 25 ÂµM 2,2'-bipyridyl]	[unknown, unknown, unknown, unknown, unknown]	30164	10432				kcat	kcat		-	3-Bromopyridine;beta-D-Galactose
SABIO-RK	3.2.1.23	1.75		1/s	3-Bromopyridyl-beta-D-galactopyranoside;H2O	Escherichia coli		LACZ;LACZpp	ec:1.00=1.00		MNXM112;MNXM36351	7.5	25.0	[ 0.125 M potassium phosphate, 5 mM MgCl2, 25 ÂµM 2,2'-bipyridyl,  0.125 M potassium phosphate, 5 mM MgCl2, 25 ÂµM 2,2'-bipyridyl]	[unknown, unknown, unknown, unknown, unknown]	30165	10432				kcat	kcat		-	3-Bromopyridine;beta-D-Galactose
SABIO-RK	3.2.1.23	1.75		1/s	H2O;4-Bromoisoquinyl-beta-D-galactopyranoside	Escherichia coli		LACZ;LACZpp	ec:1.00=1.00		MNXM112	7.5	25.0	[ 0.125 M potassium phosphate, 5 mM MgCl2, 25 ÂµM 2,2'-bipyridyl,  0.125 M potassium phosphate, 5 mM MgCl2, 25 ÂµM 2,2'-bipyridyl]	[unknown, unknown, unknown, unknown, unknown]	30166	10457				kcat	kcat		-	beta-D-Galactose;4-Bromoisoquinoline
SABIO-RK	3.2.1.23	0.99		1/s	H2O;4-Bromoisoquinyl-beta-D-galactopyranoside	Escherichia coli		LACZ;LACZpp	ec:1.00=1.00		MNXM112	7.5	25.0	[ 0.125 M potassium phosphate, 5 mM MgCl2, 25 ÂµM 2,2'-bipyridyl,  0.125 M potassium phosphate, 5 mM MgCl2, 25 ÂµM 2,2'-bipyridyl]	[unknown, unknown, unknown, unknown, unknown]	30167	10457				kcat	kcat		-	beta-D-Galactose;4-Bromoisoquinoline
SABIO-RK	3.2.1.23	0.029		1/s	Pyridyl-beta-D-galactopyranoside;H2O	Escherichia coli		LACZ;LACZpp	ec:1.00=1.00		MNXM112;MNXM1292	7.5	25.0	[ 0.125 M potassium phosphate, 5 mM MgCl2, 25 ÂµM 2,2'-bipyridyl,  0.125 M potassium phosphate, 5 mM MgCl2, 25 ÂµM 2,2'-bipyridyl]	[unknown, unknown, unknown, unknown, unknown]	30168	10423				kcat	kcat		-	beta-D-Galactose;Pyridine
SABIO-RK	3.2.1.23	0.012		1/s	H2O;Isoquinyl-beta-D-galactopyranoside	Escherichia coli		LACZ;LACZpp	ec:1.00=1.00		MNXM112;MNXM4625	7.5	25.0	[ 0.125 M potassium phosphate, 5 mM MgCl2, 25 ÂµM 2,2'-bipyridyl,  0.125 M potassium phosphate, 5 mM MgCl2, 25 ÂµM 2,2'-bipyridyl]	[unknown, unknown, unknown, unknown, unknown]	30169	10437				kcat	kcat		-	Isoquinoline;beta-D-Galactose
