source	sabiork_entry_id	organism	uniprot_id	ec_number	parameter.name	param_type	substrate_from_param	kcat_value	kcat_value_end	parameter.standardDeviation	kcat_unit	substrate	Product	pH	temperature_C	buffer	cellular_location	sabiork_reaction_id	kegg_reaction_id	reactome_reaction_id	pubmed_id
SABIO-RK	26457	Escherichia coli	P27249	2.7.7.59	kcat	kcat		2.283333		-	1/s	[Protein-PII];UTP	Uridylyl-[protein-PII];Diphosphate	7.5	30.0	[ 100 mM Tris-HCl, 100 mM KCl, 1 mM DTT, 0.3 mg/ml BSA,  100 mM Tris-HCl, 100 mM KCl, 1 mM DTT, 0.3 mg/ml BSA]	[unknown, unknown, unknown, unknown, unknown, unknown, unknown, unknown, unknown]	4389	R04733		9737855
SABIO-RK	26458	Escherichia coli	P27249	2.7.7.59	kcat	kcat		0.155		-	1/s	Uridylyl-[protein-PII];Diphosphate	UTP;[Protein-PII]	7.5	30.0	[ 100 mM Tris-HCl, 100 mM KCl, 1 mM DTT, 0.3 mg/ml BSA,  100 mM Tris-HCl, 100 mM KCl, 1 mM DTT, 0.3 mg/ml BSA]	[unknown, unknown, unknown, unknown, unknown, unknown]	4389	R04733		9737855
SABIO-RK	26459	Escherichia coli	P27249	2.7.7.59	kcat	kcat		1.016667		-	1/s	Diphosphate;Uridylyl-[protein-PII]	UTP;[Protein-PII]	-	-		[unknown, unknown, unknown, unknown, unknown, unknown, unknown]	4389	R04733		9737855
SABIO-RK	26460	Escherichia coli	P27249	2.7.7.59	kcat	kcat		0.4166667		-	1/s	UTP;[Protein-PII]	Uridylyl-[protein-PII];Diphosphate	-	-		[unknown, unknown, unknown, unknown, unknown, unknown, unknown, unknown]	4389	R04733		9737855
SABIO-RK	26461	Escherichia coli	P27249	2.7.7.59	kcat	kcat		0.3666667		-	1/s	UTP;[Protein-PII]	Diphosphate;Uridylyl-[protein-PII]	-	-		[unknown, unknown, unknown, unknown, unknown, unknown, unknown]	4389	R04733		9737855
SABIO-RK	26462	Escherichia coli	P27249	2.7.7.59	kcat	kcat		0.5		-	1/s	[Protein-PII];UTP	Uridylyl-[protein-PII];Diphosphate	-	-		[unknown, unknown, unknown, unknown, unknown, unknown, unknown]	4389	R04733		9737855
SABIO-RK	26478	Escherichia coli	P27249	2.7.7.59	kcat	kcat		0.1083333		-	1/s	Uridylyl-[protein-PII];Diphosphate	[Protein-PII];UTP	-	-		[unknown, unknown, unknown, unknown, unknown, unknown, unknown, unknown, unknown]	4389	R04733		9737855
SABIO-RK	26479	Escherichia coli	P27249	2.7.7.59	kcat	kcat		0.045		-	1/s	Uridylyl-[protein-PII];Diphosphate	[Protein-PII];UTP	-	-		[unknown, unknown, unknown, unknown, unknown, unknown, unknown, unknown]	4389	R04733		9737855
SABIO-RK	26481	Escherichia coli	P27249	2.7.7.59	kcat	kcat		2.283333		-	1/s	UTP;[Protein-PII]	Uridylyl-[protein-PII];Diphosphate	-	-		[unknown, unknown, unknown, unknown, unknown, unknown, unknown, unknown]	4389	R04733		9737855
SABIO-RK	26482	Escherichia coli	P27249	2.7.7.59	kcat	kcat		0.3133333		-	1/s	GTP;[Protein-PII]	Diphosphate;Guanyl-[protein-PII]	7.5	30.0	[ 100 mM Tris-HCl, 100 mM KCl, 1 mM DTT, 0.3 mg/ml BSA,  100 mM Tris-HCl, 100 mM KCl, 1 mM DTT, 0.3 mg/ml BSA]	[unknown, unknown, unknown, unknown, unknown, unknown, unknown, unknown]	10845			9737855
SABIO-RK	26483	Escherichia coli	P27249	2.7.7.59	kcat	kcat		1.075		-	1/s	[Protein-PII];ATP	Diphosphate;Adenylyl-[protein-PII]	7.5	30.0	[ 100 mM Tris-HCl, 100 mM KCl, 1 mM DTT, 0.3 mg/ml BSA,  100 mM Tris-HCl, 100 mM KCl, 1 mM DTT, 0.3 mg/ml BSA]	[unknown, unknown, unknown, unknown, unknown, unknown, unknown]	10842			9737855
SABIO-RK	26484	Escherichia coli	P27249	2.7.7.59	kcat	kcat		1.075		-	1/s	CTP;[Protein-PII]	Cytidyl-[protein-PII];Diphosphate	7.5	30.0	[ 100 mM Tris-HCl, 100 mM KCl, 1 mM DTT, 0.3 mg/ml BSA,  100 mM Tris-HCl, 100 mM KCl, 1 mM DTT, 0.3 mg/ml BSA]	[unknown, unknown, unknown, unknown, unknown, unknown, unknown, unknown]	10830			9737855
SABIO-RK	26485	Escherichia coli	P27249	2.7.7.59	kcat	kcat		1.458333		-	1/s	[Protein-PII];UTP	Diphosphate;Uridylyl-[protein-PII]	7.5	30.0	[ 100 mM Tris-HCl, 100 mM KCl, 1 mM DTT, 0.3 mg/ml BSA,  100 mM Tris-HCl, 100 mM KCl, 1 mM DTT, 0.3 mg/ml BSA]	[unknown, unknown, unknown, unknown, unknown, unknown, unknown, unknown]	4389	R04733		9737855
SABIO-RK	26661	Escherichia coli	P0A731	4.2.3.3	kcat	kcat		220.0		1E1	1/s	Glycerone phosphate	Methylglyoxal;Phosphate	7.0	30.0	[ 50 mM Imidazole, 15 mM Glutathione, 3.3 U/ml Yeast glyoxalase I,  50 mM Imidazole, 15 mM Glutathione, 3.3 U/ml Yeast glyoxalase I]	[unknown, unknown, unknown, unknown]	176	R01016		9665712
SABIO-RK	26668	Escherichia coli	P0A731	4.2.3.3	kcat	kcat		203.0		3.9E1	1/s	Glycerone phosphate	Methylglyoxal;Phosphate	7.0	30.0	[ 50 mM Imidazole, 15 mM Glutathione, 3.3 U/ml Yeast glyoxalase I,  50 mM Imidazole, 15 mM Glutathione, 3.3 U/ml Yeast glyoxalase I]	[unknown, unknown, unknown, unknown]	176	R01016		9665712
SABIO-RK	26676	Escherichia coli	P0A731	4.2.3.3	kcat	kcat		324.0		3.1E1	1/s	Glycerone phosphate	Methylglyoxal;Phosphate	7.0	30.0	[ 50 mM Imidazole, 15 mM Glutathione, 3.3 U/ml Yeast glyoxalase I,  50 mM Imidazole, 15 mM Glutathione, 3.3 U/ml Yeast glyoxalase I]	[unknown, unknown, unknown, unknown, unknown]	176	R01016		9665712
SABIO-RK	26680	Escherichia coli	P0A731	4.2.3.3	kcat	kcat		600.0		9.8E1	1/s	Glycerone phosphate	Phosphate;Methylglyoxal	7.0	30.0	[ 50 mM Imidazole, 15 mM Glutathione, 3.3 U/ml Yeast glyoxalase I,  50 mM Imidazole, 15 mM Glutathione, 3.3 U/ml Yeast glyoxalase I]	[unknown, unknown, unknown, unknown, unknown]	176	R01016		9665712
SABIO-RK	26906	Escherichia coli	P0A9S5	1.1.1.6	kcat	kcat		17.2		-	1/s	H+;NADH;Dihydroxyacetone	NAD+;Glycerol	7.0	25.0	[ 100 mM Potassium phosphate,  100 mM Potassium phosphate]	[unknown, unknown, unknown, unknown, unknown, unknown]	1322	R01034		18179582
SABIO-RK	26907	Escherichia coli	P0A9S5	1.1.1.6	kcat	kcat		31.7		-	1/s	Glycolaldehyde;NADH;H+	NAD+;Glycol	7.0	25.0	[ 100 mM Potassium phosphate,  100 mM Potassium phosphate]	[unknown, unknown, unknown, unknown, unknown, unknown]	1874	R01781		18179582
SABIO-RK	26908	Escherichia coli	P0A9S5	1.1.1.6	kcat	kcat		6.1		-	1/s	Methylglyoxal;H+;NADH	Lactaldehyde;NAD+	7.0	25.0	[ 100 mM Potassium phosphate,  100 mM Potassium phosphate]	[unknown, unknown, unknown, unknown, unknown, unknown]	553	R02531		18179582
SABIO-RK	26909	Escherichia coli	P0A9S5	1.1.1.6	kcat	kcat		22.4		-	1/s	Glycerol;NAD+	NADH;Dihydroxyacetone;H+	7.0	25.0	[ 100 mM Potassium phosphate,  100 mM Potassium phosphate]	[unknown, unknown, unknown, unknown, unknown, unknown]	1322	R01034		18179582
SABIO-RK	26910	Escherichia coli	P0A6F1 P00968 P00968	6.3.5.5	kcat	kcat		5.6		8.333333E-2	1/s	L-Glutamine;Hydrogencarbonate;H2O;ATP	Phosphate;Carbamoyl phosphate;ADP;L-Glutamate	7.6	25.0	[ 0.1 M HEPES, 1.0 mM phosphoenolpyruvate, 0.3 mM NADH, 0.1 M KCl, 20 mM MgCl2, 20 mM ornithine, 33 Âµg pyruvate kinase/lactate dehydrogenase,  0.1 M HEPES, 1.0 mM phosphoenolpyruvate, 0.3 mM NADH, 0.1 M KCl, 20 mM MgCl2, 20 mM ornithine, 33 Âµg pyruvate kinase/lactate dehydrogenase]	[unknown, unknown, unknown, unknown, unknown, unknown, unknown, unknown, unknown]	203	R00575		11729189
SABIO-RK	26911	Escherichia coli	P0A6F1 P00968 P00968	6.3.5.5	kcat	kcat		0.2166667		1.666667E-2	1/s	Hydrogencarbonate;ATP;H2O;L-Glutamine	Phosphate;L-Glutamate;ADP;Carbamoyl phosphate	7.6	25.0	[ 0.1 M HEPES, 1.0 mM phosphoenolpyruvate, 0.3 mM NADH, 0.1 M KCl, 20 mM MgCl2, 20 mM ornithine, 33 Âµg pyruvate kinase/lactate dehydrogenase,  0.1 M HEPES, 1.0 mM phosphoenolpyruvate, 0.3 mM NADH, 0.1 M KCl, 20 mM MgCl2, 20 mM ornithine, 33 Âµg pyruvate kinase/lactate dehydrogenase]	[unknown, unknown, unknown, unknown, unknown, unknown, unknown, unknown, unknown]	203	R00575		11729189
SABIO-RK	26912	Escherichia coli	P0A6F1 P00968 P0A6F1	6.3.5.5	kcat	kcat		0.3		1.666667E-2	1/s	Hydrogencarbonate;ATP;L-Glutamine;H2O	L-Glutamate;Phosphate;Carbamoyl phosphate;ADP	7.6	25.0	[ 0.1 M HEPES, 1.0 mM phosphoenolpyruvate, 0.3 mM NADH, 0.1 M KCl, 20 mM MgCl2, 20 mM ornithine, 33 Âµg pyruvate kinase/lactate dehydrogenase,  0.1 M HEPES, 1.0 mM phosphoenolpyruvate, 0.3 mM NADH, 0.1 M KCl, 20 mM MgCl2, 20 mM ornithine, 33 Âµg pyruvate kinase/lactate dehydrogenase]	[unknown, unknown, unknown, unknown, unknown, unknown, unknown, unknown, unknown]	203	R00575		11729189
SABIO-RK	26913	Escherichia coli	P0A6F1 P00968 P0A6F1	6.3.5.5	kcat	kcat		0.3		1.666667E-2	1/s	L-Glutamine;ATP;H2O;Hydrogencarbonate	Phosphate;ADP;Carbamoyl phosphate;L-Glutamate	7.6	25.0	[ 0.1 M HEPES, 1.0 mM phosphoenolpyruvate, 0.3 mM NADH, 0.1 M KCl, 20 mM MgCl2, 20 mM ornithine, 33 Âµg pyruvate kinase/lactate dehydrogenase,  0.1 M HEPES, 1.0 mM phosphoenolpyruvate, 0.3 mM NADH, 0.1 M KCl, 20 mM MgCl2, 20 mM ornithine, 33 Âµg pyruvate kinase/lactate dehydrogenase]	[unknown, unknown, unknown, unknown, unknown, unknown, unknown, unknown, unknown]	203	R00575		11729189
SABIO-RK	26914	Escherichia coli	P0A6F1 P00968 P00968	6.3.5.5	kcat	kcat		2.9		1E-1	1/s	H2O;NH3;CO2;ATP	ADP;Carbamoyl phosphate;Phosphate	7.6	25.0	[ 0.1 M HEPES, 1.0 mM phosphoenolpyruvate, 0.3 mM NADH, 0.1 M KCl, 20 mM MgCl2, 20 mM ornithine, 33 Âµg pyruvate kinase/lactate dehydrogenase,  0.1 M HEPES, 1.0 mM phosphoenolpyruvate, 0.3 mM NADH, 0.1 M KCl, 20 mM MgCl2, 20 mM ornithine, 33 Âµg pyruvate kinase/lactate dehydrogenase]	[unknown, unknown, unknown, unknown, unknown, unknown, unknown, unknown]	715	R00149		11729189
SABIO-RK	26915	Escherichia coli	P0A6F1 P00968 P0A6F1	6.3.5.5	kcat	kcat		2.433333		3.333333E-2	1/s	CO2;H2O;ATP;NH3	ADP;Phosphate;Carbamoyl phosphate	7.6	25.0	[ 0.1 M HEPES, 1.0 mM phosphoenolpyruvate, 0.3 mM NADH, 0.1 M KCl, 20 mM MgCl2, 20 mM ornithine, 33 Âµg pyruvate kinase/lactate dehydrogenase,  0.1 M HEPES, 1.0 mM phosphoenolpyruvate, 0.3 mM NADH, 0.1 M KCl, 20 mM MgCl2, 20 mM ornithine, 33 Âµg pyruvate kinase/lactate dehydrogenase]	[unknown, unknown, unknown, unknown, unknown, unknown, unknown, unknown]	715	R00149		11729189
SABIO-RK	27391	Escherichia coli	Q46856	1.1.1.2	kcat	kcat		0.001		1.666667E-4	1/s	1-Propanol;NADP+	Propanal;H+;NADPH	7.7	22.0	[ 50 mM Tris-HCl, 1 mM EDTA, 1 mM beta-mercaptoethanol,  50 mM Tris-HCl, 1 mM EDTA, 1 mM beta-mercaptoethanol]	[unknown, unknown, unknown, unknown, unknown, unknown]	6775			15327949
SABIO-RK	27392	Escherichia coli	Q46856	1.1.1.2	kcat	kcat		0.004333333		1.666667E-4	1/s	1-Butanol;NADP+	NADPH;Butanal;H+	7.7	22.0	[ 50 mM Tris-HCl, 1 mM EDTA, 1 mM beta-mercaptoethanol,  50 mM Tris-HCl, 1 mM EDTA, 1 mM beta-mercaptoethanol]	[unknown, unknown, unknown, unknown, unknown, unknown]	3329	R03545		15327949
SABIO-RK	27393	Escherichia coli	Q46856	1.1.1.2	kcat	kcat		0.003		8.333333E-5	1/s	1-Pentanol;NADP+	NADPH;H+;1-Pentanal	7.7	22.0	[ 50 mM Tris-HCl, 1 mM EDTA, 1 mM beta-mercaptoethanol,  50 mM Tris-HCl, 1 mM EDTA, 1 mM beta-mercaptoethanol]	[unknown, unknown, unknown, unknown, unknown, unknown]	7788			15327949
SABIO-RK	27394	Escherichia coli	Q46856	1.1.1.2	kcat	kcat		0.003166667		1.666667E-4	1/s	NADP+;3-Methylbutanol	H+;NADPH;3-Methylbutanal	7.7	22.0	[ 50 mM Tris-HCl, 1 mM EDTA, 1 mM beta-mercaptoethanol,  50 mM Tris-HCl, 1 mM EDTA, 1 mM beta-mercaptoethanol]	[unknown, unknown, unknown, unknown, unknown, unknown]	5282	R05686		15327949
SABIO-RK	27395	Escherichia coli	Q46856	1.1.1.2	kcat	kcat		0.003333333		1.666667E-4	1/s	1-Hexanol;NADP+	Hexanal;H+;NADPH	7.7	22.0	[ 50 mM Tris-HCl, 1 mM EDTA, 1 mM beta-mercaptoethanol,  50 mM Tris-HCl, 1 mM EDTA, 1 mM beta-mercaptoethanol]	[unknown, unknown, unknown, unknown, unknown, unknown]	7789			15327949
SABIO-RK	27396	Escherichia coli	Q46856	1.1.1.2	kcat	kcat		0.001583333		1.666667E-4	1/s	1-Octanol;NADP+	NADPH;H+;1-Octanal	7.7	22.0	[ 50 mM Tris-HCl, 1 mM EDTA, 1 mM beta-mercaptoethanol,  50 mM Tris-HCl, 1 mM EDTA, 1 mM beta-mercaptoethanol]	[unknown, unknown, unknown, unknown, unknown, unknown]	10819			15327949
SABIO-RK	27397	Escherichia coli	Q46856	1.1.1.2	kcat	kcat		9.166667E-4		8.333333E-5	1/s	Benzyl alcohol;NADP+	NADPH;H+;Benzaldehyde	7.7	22.0	[ 50 mM Tris-HCl, 1 mM EDTA, 1 mM beta-mercaptoethanol,  50 mM Tris-HCl, 1 mM EDTA, 1 mM beta-mercaptoethanol]	[unknown, unknown, unknown, unknown, unknown, unknown]	6731	R01488		15327949
SABIO-RK	27398	Escherichia coli	Q46856	1.1.1.2	kcat	kcat		0.03666667		3.333333E-2	1/s	3-Methylbutanol;NADP+	3-Methylbutanal;H+;NADPH	7.7	22.0	[ 50 mM Tris-HCl, 1 mM EDTA, 1 mM beta-mercaptoethanol,  50 mM Tris-HCl, 1 mM EDTA, 1 mM beta-mercaptoethanol]	[unknown, unknown, unknown, unknown, unknown, unknown]	5282	R05686		15327949
SABIO-RK	27399	Escherichia coli	Q46856	1.1.1.2	kcat	kcat		0.05		5.333333E-2	1/s	1-Hexanol;NADP+	Hexanal;H+;NADPH	7.7	22.0	[ 50 mM Tris-HCl, 1 mM EDTA, 1 mM beta-mercaptoethanol,  50 mM Tris-HCl, 1 mM EDTA, 1 mM beta-mercaptoethanol]	[unknown, unknown, unknown, unknown, unknown, unknown]	7789			15327949
SABIO-RK	27400	Escherichia coli	Q46856	1.1.1.2	kcat	kcat		0.0075		7.5E-4	1/s	1-Octanol;NADP+	NADPH;H+;1-Octanal	7.7	22.0	[ 50 mM Tris-HCl, 1 mM EDTA, 1 mM beta-mercaptoethanol,  50 mM Tris-HCl, 1 mM EDTA, 1 mM beta-mercaptoethanol]	[unknown, unknown, unknown, unknown, unknown, unknown]	10819			15327949
SABIO-RK	27401	Escherichia coli	Q46856	1.1.1.2	kcat	kcat		0.04666667		4E-2	1/s	Benzyl alcohol;NADP+	NADPH;Benzaldehyde;H+	7.7	22.0	[ 50 mM Tris-HCl, 1 mM EDTA, 1 mM beta-mercaptoethanol,  50 mM Tris-HCl, 1 mM EDTA, 1 mM beta-mercaptoethanol]	[unknown, unknown, unknown, unknown, unknown, unknown]	6731	R01488		15327949
SABIO-RK	27632	Escherichia coli	P0AC81	4.4.1.5	kcat	kcat		106.0		-	1/s	Glutathione-methylglyoxal hemithioacetal	(R)-S-Lactoylglutathione	6.6	-	[ 50 mM Potassium phosphate]	[unknown, unknown, unknown, unknown]	10786			14556652
SABIO-RK	27633	Escherichia coli	P0AC81	4.4.1.5	kcat	kcat		55.7		-	1/s	Glutathione-methylglyoxal hemithioacetal	(R)-S-Lactoylglutathione	6.6	-	[ 50 mM Potassium phosphate]	[unknown, unknown, unknown, unknown]	10786			14556652
SABIO-RK	27634	Escherichia coli	P0AC81	4.4.1.5	kcat	kcat		21.4		-	1/s	Glutathione-methylglyoxal hemithioacetal	(R)-S-Lactoylglutathione	6.6	-	[ 50 mM Potassium phosphate]	[unknown, unknown, unknown, unknown]	10786			14556652
SABIO-RK	27635	Escherichia coli	P0AC81	4.4.1.5	kcat	kcat		60.2		-	1/s	Glutathione-methylglyoxal hemithioacetal	(R)-S-Lactoylglutathione	6.6	-	[ 50 mM Mes]	[unknown, unknown, unknown, unknown]	10786			14556652
SABIO-RK	27643	Escherichia coli	P62707	5.4.2.11	kcat	kcat		330.0		1.1E1	1/s	3-Phospho-D-glycerate	2-Phospho-D-glycerate	7.0	30.0	[ 30 mM Tris-HCl, 20 mM KCl, 5 mM MgSO4, 1 mM ATP, 0.15 mM NADH, 0.08 U enolase, 0.5 U pyruvate kinase, 0.5 lactate dehydrogenase,  30 mM Tris-HCl, 20 mM KCl, 5 mM MgSO4, 1 mM ATP, 0.15 mM NADH, 0.08 U enolase, 0.5 U pyruvate kinase, 0.5 lactate dehydrogenase]	[unknown, unknown, unknown, unknown]	7641	R01518		10437801
SABIO-RK	27644	Escherichia coli	P37689	5.4.2.12	kcat	kcat		22.0		1E0	1/s	3-Phospho-D-glycerate	2-Phospho-D-glycerate	7.0	30.0	[ 30 mM Tris-HCl, 20 mM KCl, 5 mM MgSO4, 1 mM ATP, 0.15 mM NADH, 0.08 U enolase, 0.5 U pyruvate kinase,  30 mM Tris-HCl, 20 mM KCl, 5 mM MgSO4, 1 mM ATP, 0.15 mM NADH, 0.08 U enolase, 0.5 U pyruvate kinase]	[unknown, unknown, unknown]	7641	R01518		10437801
SABIO-RK	27645	Escherichia coli	P37689	5.4.2.12	kcat	kcat		10.0		5E-1	1/s	2-Phospho-D-glycerate	3-Phospho-D-glycerate	7.0	30.0	[ 30 mM Tris-HCl, 20 mM KCl, 5 mM MgSO4, 0.2 mM ADP, 0.15 mM NADH, 0.5 U phosphoglycerate kinase, 0.5 U glyceraldehyde 3-phosphate dehydrogenase,  30 mM Tris-HCl, 20 mM KCl, 5 mM MgSO4, 0.2 mM ADP, 0.15 mM NADH, 0.5 U phosphoglycerate kinase, 0.5 U glyceraldehyde 3-phosphate dehydrogenase]	[unknown, unknown, unknown]	7641	R01518		10437801
SABIO-RK	27646	Escherichia coli	P62707	5.4.2.11	kcat	kcat		220.0		1.3E1	1/s	2-Phospho-D-glycerate	3-Phospho-D-glycerate	7.0	30.0	[ 30 mM Tris-HCl, 20 mM KCl, 5 mM MgSO4, 0.2 mM ADP, 0.15 mM NADH, 0.5 U phosphoglycerate kinase, 0.5 U glyceraldehyde 3-phosphate dehydrogenase,  30 mM Tris-HCl, 20 mM KCl, 5 mM MgSO4, 0.2 mM ADP, 0.15 mM NADH, 0.5 U phosphoglycerate kinase, 0.5 U glyceraldehyde 3-phosphate dehydrogenase]	[unknown, unknown, unknown, unknown]	7641	R01518		10437801
SABIO-RK	27714	Escherichia coli		2.3.1.60	kcat	kcat		3.566667		-	1/s	Acetyl-CoA;Gentamicin C1a	N3'-Acetylgentamicin C1a;Coenzyme A	7.8	25.0	[ 8.88 mM Tris HCl, 0.133 mM EDTA, 8.88 mM (NH4)2SO4,  8.88 mM Tris HCl, 0.133 mM EDTA, 8.88 mM (NH4)2SO4]	[unknown, unknown, unknown, unknown, unknown]	10554			764855
SABIO-RK	27726	Escherichia coli	P0AC81	4.4.1.5	kcat	kcat		338.0		-	1/s	Glutathione-methylglyoxal hemithioacetal	(R)-S-Lactoylglutathione	7.0	-	[ 50 mM MOPS, 10% Glycerol, 2.5 molar equivalents of NiCl2 to dimeric enzyme]	[unknown, unknown, unknown]	10786			9628737
SABIO-RK	27868	Escherichia coli	P08200	1.1.1.42	kcat	kcat		76.2		-	1/s	NADP+;Isocitrate	2-Oxoglutarate;NADPH;CO2;H+	7.8	-	[ Tris/HCl]	[unknown, unknown, unknown, unknown, unknown, unknown, unknown]	269	R00267		7819221
SABIO-RK	27871	Escherichia coli	P08200	1.1.1.42	kcat	kcat		1.41		-	1/s	H+;NADPH;Oxalosuccinate	NADP+;Isocitrate	7.8	-	[ Tris/HCl]	[unknown, unknown, unknown, unknown, unknown, unknown]	242	R01899		7819221
SABIO-RK	27874	Escherichia coli	P08200	1.1.1.42	kcat	kcat		20.6		-	1/s	Oxalosuccinate;NADP+	2-Oxoglutarate;H+;NADPH;CO2	7.8	-	[ Tris/HCl]	[unknown, unknown, unknown, unknown, unknown, unknown, unknown]	8407			7819221
SABIO-RK	27875	Escherichia coli	P08200	1.1.1.42	kcat	kcat		36.2		-	1/s	Oxalosuccinate;NADP+	CO2;2-Oxoglutarate;H+;NADPH	7.8	-	[ Tris/HCl]	[unknown, unknown, unknown, unknown, unknown, unknown, unknown]	8407			7819221
SABIO-RK	27876	Escherichia coli	P08200	1.1.1.42	kcat	kcat		7.24E-4		-	1/s	NADP+;(R)-2-Hydroxyglutarate	NADPH;H+;2-Oxoglutarate	7.8	-	[ Tris/HCl]	[unknown, unknown, unknown, unknown, unknown, unknown]	11760			7819221
SABIO-RK	28623	Escherichia coli	P77674	1.2.1.19	kcat	kcat		7.683333		2.833333E-1	1/s	NAD+;H2O;4-Aminobutanal	NADH;4-Aminobutanoate;H+	7.5	25.0	[ 0.1 M Tris-HCl,  0.1 M Tris-HCl]	[unknown, unknown, unknown, unknown, unknown, unknown, unknown]	2464	R02549		16023116
SABIO-RK	28624	Escherichia coli	P77674	1.2.1.19	kcat	kcat		0.3		1.666667E-2	1/s	Butanal;H2O;NAD+	NADH;H+;Butanoate	7.5	25.0	[ 0.1 M Tris-HCl,  0.1 M Tris-HCl]	[unknown, unknown, unknown, unknown, unknown, unknown, unknown]	6490			16023116
SABIO-RK	28625	Escherichia coli	P77674	1.2.1.19	kcat	kcat		5.65		2.333333E-1	1/s	H2O;4-Aminobutanal;NAD+	NADH;4-Aminobutanoate;H+	7.5	25.0	[ 0.1 M Tris-HCl,  0.1 M Tris-HCl]	[unknown, unknown, unknown, unknown, unknown, unknown, unknown]	2464	R02549		16023116
SABIO-RK	28626	Escherichia coli	P77674	1.2.1.19	kcat	kcat		2.116667		6.666667E-2	1/s	H2O;NADP+;4-Aminobutanal	H+;NADPH;4-Aminobutanoate	7.5	25.0	[ 0.1 M Tris-HCl,  0.1 M Tris-HCl]	[unknown, unknown, unknown, unknown, unknown, unknown, unknown]	2027	R01986		16023116
SABIO-RK	28891	Escherichia coli	P32719	5.1.3	kcat	kcat		46.0		4E0	1/s	D-Psicose 6-phosphate	D-Fructose 6-phosphate	7.5	-	[ 50 mM sodium HEPES, 150 mM NaCl, 0.16 mM NADP+, 20 U/ml glucose 6-phosphate dehydrogenase, 20 U/ml phosphoglucoisomerase]	[unknown, unknown, unknown, unknown]	11125			18700786
SABIO-RK	28892	Escherichia coli	P32719	5.1.3	kcat	kcat		7.3		5E-1	1/s	D-Psicose 6-phosphate	D-Fructose 6-phosphate	7.5	-	[ 50 mM sodium HEPES, 150 mM NaCl, 0.16 mM NADP+, 20 U/ml glucose 6-phosphate dehydrogenase, 20 U/ml phosphoglucoisomerase]	[unknown, unknown, unknown, unknown]	11125			18700786
SABIO-RK	28893	Escherichia coli	P32719	5.1.3	kcat	kcat		2.2		2E-1	1/s	D-Psicose 6-phosphate	D-Fructose 6-phosphate	7.5	-	[ 50 mM sodium HEPES, 150 mM NaCl, 0.16 mM NADP+, 20 U/ml glucose 6-phosphate dehydrogenase, 20 U/ml phosphoglucoisomerase]	[unknown, unknown, unknown, unknown]	11125			18700786
SABIO-RK	28897	Escherichia coli	P32719	5.1.3.1	kcat	kcat		2.0		8E-1	1/s	D-Ribulose 5-phosphate	D-Xylulose 5-phosphate	7.5	-	[ 50 mM sodium HEPES, 50 mM glycolaldehyde, 0.1 mM thiamin pyrophosphate, 0.16 mM NADH, 100 Âµg/ml transketolase, 20 U/ml triose phosphate isomerase, 10 U/ml glycerolphosphate dehydrogenase, 10 mM MgCl2]	[unknown, unknown, unknown, unknown]	62	R01529	R-SPO-71303;R-XTR-199803;R-DME-199803;R-OSA-199803;R-CFA-199803;R-CFA-71303;R-MMU-71303;R-GGA-199803;R-HSA-199803;R-HSA-71303;R-DRE-199803;R-DRE-71303;R-PFA-71303;R-XTR-71303;R-SSC-199803;R-TGU-199803;R-BTA-71303;R-ATH-199803;R-OSA-71303;R-SPO-199803;R-DME-71303;R-SCE-199803;R-RNO-71303;R-DDI-199803;R-DDI-71303;R-CEL-199803;R-PFA-199803;R-RNO-199803;R-GGA-71303;R-BTA-199803;R-SCE-71303;R-CEL-71303;R-SSC-71303;R-MMU-199803;R-ATH-71303;R-TGU-71303	18700786
SABIO-RK	29354	Escherichia coli	P05041	2.6.1.85	kcat	kcat		0.032		3E-3	1/s	Chorismate;NH3	H2O;4-Amino-4-deoxychorismate	8.5	25.0	[ 100 mM Bicine, 5 mM MgCl2, 20 ÂµM PLP, 13 ÂµM 4-Amino-4-deoxy-chorismate lyase, 200 ÂµM NADH, 4 U/ml Lactate dehydrogenase,  100 mM Bicine, 5 mM MgCl2, 20 ÂµM PLP, 13 ÂµM 4-Amino-4-deoxy-chorismate lyase, 200 ÂµM NADH, 4 U/ml Lactate dehydrogenase]	[unknown, unknown, unknown, unknown, unknown]	5157	R05552		14982443
SABIO-RK	29356	Escherichia coli	P05041	2.6.1.85	kcat	kcat		0.032		2E-3	1/s	Chorismate;NH3	4-Amino-4-deoxychorismate;H2O	8.5	25.0	[ 100 mM Bicine, 5 mM MgCl2, 20 ÂµM PLP, 13 ÂµM 4-Amino-4-deoxy-chorismate lyase, 200 ÂµM NADH, 4 U/ml Lactate dehydrogenase,  100 mM Bicine, 5 mM MgCl2, 20 ÂµM PLP, 13 ÂµM 4-Amino-4-deoxy-chorismate lyase, 200 ÂµM NADH, 4 U/ml Lactate dehydrogenase]	[unknown, unknown, unknown, unknown, unknown]	5157	R05552		14982443
