source	sabiork_entry_id	organism	uniprot_id	ec_number	parameter.name	param_type	substrate_from_param	kcat_value	kcat_value_end	parameter.standardDeviation	kcat_unit	substrate	Product	pH	temperature_C	buffer	cellular_location	sabiork_reaction_id	kegg_reaction_id	reactome_reaction_id	pubmed_id
SABIO-RK	75505	Escherichia coli	P77366	5.4.2.6	kcat	kcat		10.5		2E-1	1/s	beta-D-Allose 1-phosphate	D-Allose 6-phosphate	8.0	30.0	[50 mM HEPES/K+, 1.0 mM MgCl2, 100 mM KCl, 50 mM HEPES/K+, 1.0 mM MgCl2, 100 mM KCl]	[unknown, unknown, unknown, unknown]	16425			29684280
SABIO-RK	75506	Escherichia coli	P77366	5.4.2.6	kcat	kcat		0.47		9E-2	1/s	beta-D-Galactose 1-phosphate	D-Galactose 6-phosphate	8.0	30.0	[50 mM HEPES/K+, 1.0 mM MgCl2, 100 mM KCl, 50 mM HEPES/K+, 1.0 mM MgCl2, 100 mM KCl]	[unknown, unknown, unknown, unknown]	16426			29684280
SABIO-RK	75507	Escherichia coli	P77366	5.4.2.6	kcat	kcat		0.09		1E-2	1/s	beta-D-Mannose 1-phosphate	D-Mannose 6-phosphate	8.0	30.0	[50 mM HEPES/K+, 1.0 mM MgCl2, 100 mM KCl, 50 mM HEPES/K+, 1.0 mM MgCl2, 100 mM KCl]	[unknown, unknown, unknown, unknown]	16427			29684280
SABIO-RK	75508	Escherichia coli	P00547	2.7.1.39	kcat	kcat		18.3		1E-1	1/s	L-Homoserine;ATP	ADP;O-Phospho-L-homoserine	8.0	30.0	[100 mM Hepes/Tris, 100 mM KCl, 10 mM Mg(OAc)2, 0.7 mM PEP, 0.1 mM NADH, 20 U pyruvate kinase, 20 U lactate dehydrogenase, 100 mM Hepes/Tris, 100 mM KCl, 10 mM Mg(OAc)2, 0.7 mM PEP, 0.1 mM NADH, 20 U pyruvate kinase, 20 U lactate dehydrogenase]	[unknown, unknown, unknown, unknown, unknown]	1866	R01771		8973190
SABIO-RK	75509	Escherichia coli	P00547	2.7.1.39	kcat	kcat		8.3		1.1E0	1/s	D-Homoserine;ATP	ADP;O-Phospho-D-homoserine	8.0	30.0	[100 mM Hepes/Tris, 100 mM KCl, 10 mM Mg(OAc)2, 0.7 mM PEP, 0.1 mM NADH, 20 U pyruvate kinase, 20 U lactate dehydrogenase, 100 mM Hepes/Tris, 100 mM KCl, 10 mM Mg(OAc)2, 0.7 mM PEP, 0.1 mM NADH, 20 U pyruvate kinase, 20 U lactate dehydrogenase]	[unknown, unknown, unknown, unknown, unknown]	16428			8973190
SABIO-RK	75510	Escherichia coli	P00547	2.7.1.39	kcat	kcat		2.1		1E-1	1/s	ATP;L-Aspartate 4-semialdehyde	ADP;4-Phospho-L-aspartate	8.0	30.0	[100 mM Hepes/Tris, 100 mM KCl, 10 mM Mg(OAc)2, 0.7 mM PEP, 0.1 mM NADH, 20 U pyruvate kinase, 20 U lactate dehydrogenase, 100 mM Hepes/Tris, 100 mM KCl, 10 mM Mg(OAc)2, 0.7 mM PEP, 0.1 mM NADH, 20 U pyruvate kinase, 20 U lactate dehydrogenase]	[unknown, unknown, unknown, unknown, unknown]	16429			8973190
SABIO-RK	75511	Escherichia coli	P00547	2.7.1.39	kcat	kcat		2.0		5E-1	1/s	L-2-Amino-1,4-butanediol;ATP	ADP;4-O-Phosphono-(S)-2-amino-1,4-butandiol	8.0	30.0	[100 mM Hepes/Tris, 100 mM KCl, 10 mM Mg(OAc)2, 0.7 mM PEP, 0.1 mM NADH, 20 U pyruvate kinase, 20 U lactate dehydrogenase, 100 mM Hepes/Tris, 100 mM KCl, 10 mM Mg(OAc)2, 0.7 mM PEP, 0.1 mM NADH, 20 U pyruvate kinase, 20 U lactate dehydrogenase]	[unknown, unknown, unknown, unknown, unknown]	16430			8973190
SABIO-RK	75512	Escherichia coli	P00547	2.7.1.39	kcat	kcat		2.5		4E-1	1/s	ATP;L-2-Amino-5-hydroxyvalerate	ADP;5-O-Phosphono-L-2-amino-5-hydroxypentanoate	8.0	30.0	[100 mM Hepes/Tris, 100 mM KCl, 10 mM Mg(OAc)2, 0.7 mM PEP, 0.1 mM NADH, 20 U pyruvate kinase, 20 U lactate dehydrogenase, 100 mM Hepes/Tris, 100 mM KCl, 10 mM Mg(OAc)2, 0.7 mM PEP, 0.1 mM NADH, 20 U pyruvate kinase, 20 U lactate dehydrogenase]	[unknown, unknown, unknown, unknown, unknown]	16431			8973190
SABIO-RK	75513	Escherichia coli	P00547	2.7.1.39	kcat	kcat		14.7		2.6E0	1/s	L-Homoserine methyl ester;ATP	O-Phospho-L-homoserine methyl ester;ADP	8.0	30.0	[100 mM Hepes/Tris, 100 mM KCl, 10 mM Mg(OAc)2, 0.7 mM PEP, 0.1 mM NADH, 20 U pyruvate kinase, 20 U lactate dehydrogenase, 100 mM Hepes/Tris, 100 mM KCl, 10 mM Mg(OAc)2, 0.7 mM PEP, 0.1 mM NADH, 20 U pyruvate kinase, 20 U lactate dehydrogenase]	[unknown, unknown, unknown, unknown, unknown]	16432			8973190
SABIO-RK	75514	Escherichia coli	P00547	2.7.1.39	kcat	kcat		13.6		8E-1	1/s	L-Homoserine ethyl ester;ATP	O-Phospho-L-homoserine ethyl ester;ADP	8.0	30.0	[100 mM Hepes/Tris, 100 mM KCl, 10 mM Mg(OAc)2, 0.7 mM PEP, 0.1 mM NADH, 20 U pyruvate kinase, 20 U lactate dehydrogenase, 100 mM Hepes/Tris, 100 mM KCl, 10 mM Mg(OAc)2, 0.7 mM PEP, 0.1 mM NADH, 20 U pyruvate kinase, 20 U lactate dehydrogenase]	[unknown, unknown, unknown, unknown, unknown]	16433			8973190
