Rank,gene_callers_id,DSS3_ac_mean_abund,DSS3_glc_mean_abund,DSS3_late_mean_abund,DSS3_early_mean_abund,DSS3_ac_v_DSS3_glc_FOLD_CHANGE_rna,DSS3_ac_v_DSS3_late_FOLD_CHANGE_rna,DSS3_ac_v_DSS3_early_FOLD_CHANGE_rna,DSS3_glc_v_DSS3_late_FOLD_CHANGE_rna,DSS3_glc_v_DSS3_early_FOLD_CHANGE_rna,DSS3_late_v_DSS3_early_FOLD_CHANGE_rna,ANOVA p-value,BH_crit,BH_valid,DSS3_ac_v_DSS3_glc_Tukey_HSD_adjusted_p,DSS3_ac_v_DSS3_late_Tukey_HSD_adjusted_p,DSS3_ac_v_DSS3_early_Tukey_HSD_adjusted_p,DSS3_glc_v_DSS3_late_Tukey_HSD_adjusted_p,DSS3_glc_v_DSS3_early_Tukey_HSD_adjusted_p,DSS3_late_v_DSS3_early_Tukey_HSD_adjusted_p,SPO_ID (ACCESSION),KOfam (ACCESSION),KEGG_Module,COG20_FUNCTION,n_matches,frame_id,n_reactions,reaction_ids
38,345,0.062433136,0.012378679,0.00796479,0.05144683,2.334635824,2.978966032,0.281200805,0.644330209,-2.053435019,-2.697765227,1.20034329084752e-08,0.000437586,TRUE,0,0,0.0017,,,,SPO0346a,,,,1,SPO_RS22730,0,
39,4212,0.06128769,0.012239273,0.008615083,0.041559048,2.328145785,2.836060021,0.560491174,0.507914236,-1.767654611,-2.275568847,1.31476289722982e-08,0.000449102,TRUE,0,0,0,,,,SPOA0315,,,Monomeric isocitrate dehydrogenase (IcdM) (PDB:1ITW),1,SPO_RS21415,3,"ISOCITDEH-RXN, RXN-9951, RXN-8642"
40,854,0.002929851,0.052062272,0.04286305,0.030611796,-4.15292123,-3.872313325,-3.385123297,0.280607904,0.767797933,0.487190028,1.52647928975392e-08,0.000460617,TRUE,,,,0.0009,,,SPO0855,K00854,Glucuronate pathway (uronate pathway),Sugar (pentulose or hexulose) kinase (XylB) (PDB:4C23),1,SPO_RS04310,1,XYLULOKIN-RXN
41,3607,0.12625044,0.008581912,0.005234723,0.111687851,3.876821511,4.593362037,0.174109066,0.716540525,-3.702712446,-4.419252971,1.53336840316458e-08,0.000472133,TRUE,0,0,0.0454,,,,SPO3608,K08691,Ethylmalonyl pathway,Citrate lyase beta subunit (CitE) (PDB:4ROQ),1,SPO_RS18280,2,"MALYL-COA-LYASE-RXN, RXN-8961"
42,2201,0.006204955,0.001216965,0.001020361,0.006224052,2.353291072,2.604200887,-0.003653099,0.250909815,-2.356944171,-2.607853986,1.61515264421557e-08,0.000483648,TRUE,,0.0019,,,,,SPO2198,K00134,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",Glyceraldehyde-3-phosphate dehydrogenase/erythrose-4-phosphate dehydrogenase (GapA) (PDB:3ZDF),1,SPO_RS11145,1,GAPOXNPHOSPHN-RXN
43,354,0.04066339,0.008748314,0.008437271,0.032452866,2.218848686,2.274474762,0.327321473,0.055626076,-1.891527213,-1.94715329,2.15377129166549e-08,0.000495164,TRUE,0,0,0.0007,,,,SPO0355,K14449,Ethylmalonyl pathway,Acyl-CoA dehydratase PaaZ (MaoC) (PDB:5ZY8),1,SPO_RS01805,0,
44,342,0.026914808,0.008342993,0.006259499,0.017096089,1.690034013,2.104724388,0.655607867,0.414690375,-1.034426146,-1.449116521,2.28877226806245e-08,0.000506679,TRUE,0.0001,0,0.0007,,,,SPO0344a,,,Dipeptidyl aminopeptidase/acylaminoacyl peptidase (DAP2) (PDB:2JBW),1,SPO_RS01750,0,
45,2261,0.004101737,0.000167997,0.000584564,0.000859789,4.620286368,2.816651686,2.273075404,-1.803634682,-2.347210963,-0.543576282,2.52117630869885e-08,0.000518194,TRUE,,,,,,,SPO2258,,,,1,SPO_RS11455,0,
46,1061,0.000558141,0.010634484,0.00311616,0.000617693,-4.253870134,-2.476415649,-0.148442328,1.777454485,4.105427807,2.327973321,2.57973180752598e-08,0.00052971,TRUE,,,,0.0001,,,SPO1061,,,"ABC-type amino acid transport/signal transduction system, periplasmic component/domain (HisJ) (PDB:1GGG)!!!Cytoplasmic potassium-binding protein Kbp/XkdP/YgaU, contains LysM domain (XkdP) (PDB:5FIM) (PUBMED:27112601)",1,SPO_RS05385,0,
47,2757,0.025369307,0.010188563,0.010868838,0.016879558,1.315853738,1.222794915,0.588061233,-0.093058823,-0.727792505,-0.634733682,2.60661384415973e-08,0.000541225,TRUE,0,0,0,,,,SPO2762,K03524,,Biotin-(acetyl-CoA carboxylase) ligase (BirA2) (PDB:1BIA) (PUBMED:32188788),1,SPO_RS14030,3,"BIOTINLIG-RXN, RXN0-7192, RXN-22002"
48,4129,0.009109623,0.001436707,0.003831043,0.003773225,2.665079285,1.251576793,1.27508899,-1.413502492,-1.389990295,0.023512197,2.72817030515175e-08,0.000552741,TRUE,0,0,0,0,,,SPOA0231,K02002,,"ABC-type proline/glycine betaine transport system, periplasmic component (ProX) (PDB:1R9L)",1,SPO_RS20990,0,
49,3268,0.007561071,0.003472203,0.004005391,0.003037553,1.123701376,0.917056694,1.317684507,-0.206644682,0.193983131,0.400627813,2.73135014512468e-08,0.000564256,TRUE,0,0,0,0.0131,,,SPO3272,K22083,,Glutamate synthase domain 2 (GltB2) (PDB:1EA0),1,SPO_RS16570,0,
50,2835,0.011259409,0.004642792,0.001660975,0.007064279,1.278276817,2.782444641,0.674439258,1.504167824,-0.603837559,-2.108005383,2.78162616576536e-08,0.000575772,TRUE,0,0,0,0,,,SPO2839,K01638,Glyoxylate cycle,Malate synthase (AceB) (PDB:1D8C),1,SPO_RS14420,1,MALSYN-RXN
51,3910,0.002789371,0.002223334,0.001786239,0.005346587,0.326661598,0.644079345,-0.940599488,0.317417747,-1.267261086,-1.584678833,2.86218312748029e-08,0.000587287,TRUE,,,0.0243,,,,SPOA0012,,,Adenylate kinase or related kinase (Adk) (PDB:1AK2),1,SPO_RS19840,0,
52,3870,0.051806256,0.01211921,0.015207547,0.037996583,2.096414582,1.770063191,0.449259192,-0.326351391,-1.64715539,-1.320803999,2.94501580935315e-08,0.000598802,TRUE,0,0,0.0001,,,,SPO3868,,,"RocR-type transcriptional regulator, contains PAS, AAA-type ATPase, and DNA-binding Fis domains (RocR)",1,SPO_RS19630,0,
53,1014,0.007540426,0.001591214,0.001167295,0.002151174,2.246412116,2.69219298,1.808162315,0.445780865,-0.438249801,-0.884030665,3.38324116368281e-08,0.000610318,TRUE,,0.0035,,,,,SPO1015,,,"NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family (FabG) (PDB:6L1H)",1,SPO_RS05110,1,3-HYDROXYBUTYRATE-DEHYDROGENASE-RXN
54,1850,0.000923824,0.004082657,0.001808784,0.002087452,-2.143353823,-0.967075035,-1.174820882,1.176278788,0.96853294,-0.207745847,3.92115073637551e-08,0.000621833,TRUE,,,,,,,SPO1848,K01996,,"ABC-type branched-chain amino acid transport system, ATPase component LivF (LivF) (PDB:1JI0) (PUBMED:26527648;32250026)",1,SPO_RS09400,0,
55,21,0.010559047,0.003773685,0.006622004,0.00445466,1.48794305,0.672750812,1.244829119,-0.815192238,-0.243113931,0.572078307,4.69796459895219e-08,0.000633349,TRUE,,,,,,,SPO0021,K20976,,HPt (histidine-containing phosphotransfer) domain (HPtr) (PDB:3IQT),1,SPO_RS00105,0,
56,2621,0.067790365,0.004642125,0.005221067,0.019153425,3.869937017,3.724509383,1.825056196,-0.145427634,-2.044880821,-1.899453187,5.19259372980663e-08,0.000644864,TRUE,,,,,,,SPO2626,K11690,,"TRAP-type C4-dicarboxylate transport system, large permease component (DctQ)",1,SPO_RS13320,0,
57,2640,0.025620197,0.006988338,0.008540673,0.015816496,1.874182044,1.586229874,0.696483812,-0.28795217,-1.177698232,-0.889746061,5.22256041065986e-08,0.00065638,TRUE,0,0,0,,,,SPO2645,K01318,,V8-like Glu-specific endopeptidase (eMpr),1,SPO_RS22260,0,
58,344,0.066153354,0.011561971,0.005610942,0.044203746,2.521213135,3.561303617,0.585932763,1.040090482,-1.935280372,-2.975370854,5.44845346463276e-08,0.000667895,TRUE,0,0,0.0001,,,,SPO0346,K01902,"Citrate cycle (TCA cycle, Krebs cycle)","Succinyl-CoA synthetase, alpha subunit (SucD) (PDB:1CQI)",1,SPO_RS01760,1,SUCCCOASYN-RXN
59,2411,0.001323407,0.001835035,0.002381888,0.001098908,-0.470693417,-0.847745649,0.269006377,-0.377052231,0.739699794,1.116752025,5.90953878164869e-08,0.00067941,TRUE,,,,,,,SPO2414,K18983,,L-alanine-DL-glutamate epimerase or related enzyme of enolase superfamily (RspA) (PDB:1BKH),1,SPO_RS12265,0,
60,1069,0.001679151,0.016430889,0.005404219,0.002513593,-3.288870798,-1.686916392,-0.579437366,1.601954406,2.709433432,1.107479026,5.93371433793811e-08,0.000690926,TRUE,0,0.0307,,0.0001,,,SPO1069,,,Double Era-like domain GTPase Der (Der) (PDB:1MKY),1,SPO_RS05425,0,
61,1547,0.009057098,0.002189994,0.001066528,0.003744165,2.050633328,3.087052937,1.282376901,1.036419609,-0.768256428,-1.804676037,6.92084121405163e-08,0.000702441,TRUE,,,,,,,SPO1544,K02033,,"ABC-type dipeptide/oligopeptide/nickel transport system, permease component (DppB)",1,SPO_RS07860,0,
62,54,0.010187192,0.001866189,0.003462492,0.003751535,2.450379053,1.555712559,1.443677877,-0.894666493,-1.006701176,-0.112034682,7.12685651723054e-08,0.000713957,TRUE,,,,,,,SPO0054,K03630,,"DNA repair protein RadC, contains a helix-hairpin-helix DNA-binding motif (RadC) (PDB:2QLC) (PUBMED:9695921)",1,SPO_RS00275,0,
